Manuf,Model,Type,Origin,DriveTrain,EngineSize,Cylinders,Horsepower,MPG_City,MPG_Highway,Weight,Wheelbase,Length,MSRP
Mitsu,Lancer Evolution 4dr,Sports,Asia,Front,2,4,271,18,26,3263,103,179,29562
Mitsu,Diamante LS 4dr,Sedan,Asia,Front,3.5,6,205,18,25,3549,107,194,29282
Mitsu,Eclipse Spyder GT convertible 2dr,Sports,Asia,Front,3,6,210,21,28,3296,101,177,26992
Mitsu,Galant GTS 4dr,Sedan,Asia,Front,3.8,6,230,18,26,3649,108,191,25700
Mitsu,Eclipse GTS 2dr,Sports,Asia,Front,3,6,210,21,28,3241,101,177,25092
Mitsu,Galant ES 2.4L 4dr,Sedan,Asia,Front,2.4,4,160,23,30,3351,108,191,19312
Mitsu,Outlander LS,SUV,Asia,Front,2.4,4,160,21,27,3240,103,179,18892
Mitsu,Lancer Sportback LS,Wagon,Asia,Front,2.4,4,160,25,31,3020,102,181,17495
Mitsu,Lancer OZ Rally 4dr auto,Sedan,Asia,Front,2,4,120,25,31,2744,102,181,17232
Mitsu,Lancer LS 4dr,Sedan,Asia,Front,2,4,120,25,31,2795,102,181,16722
Mitsu,Lancer ES 4dr,Sedan,Asia,Front,2,4,120,25,31,2656,102,181,14622
Nissa,350Z Enthusiast convertible 2dr,Sports,Asia,Rear,3.5,6,287,20,26,3428,104,169,34390
Nissa,Pathfinder Armada SE,SUV,Asia,Front,5.6,8,305,13,19,5013,123,207,33840
Nissa,Quest SE,Sedan,Asia,Front,3.5,6,240,18,25,4175,124,204,32780
Nissa,Maxima SL 4dr,Sedan,Asia,Front,3.5,6,265,20,28,3476,111,194,29440
Nissa,Murano SL,Wagon,Asia,Rear,3.5,6,245,20,25,3801,111,188,28739
Nissa,Maxima SE 4dr,Sedan,Asia,Front,3.5,6,265,20,28,3473,111,194,27490
Nissa,Pathfinder SE,SUV,Asia,Front,3.5,6,240,16,21,3871,106,183,27339
Nissa,350Z coupe 2dr,Sports,Asia,Rear,3.5,6,287,20,26,3188,104,169,26910
Nissa,Titan King Cab XE,Truck,Asia,All,5.6,8,305,14,18,5287,140,224,26650
Nissa,Quest S,Sedan,Asia,Front,3.5,6,240,19,26,4012,124,204,24780
Nissa,Altima SE 4dr,Sedan,Asia,Front,3.5,6,245,21,26,3197,110,192,23290
Nissa,Xterra XE V6,SUV,Asia,Front,3.3,6,180,17,20,3760,104,178,20939
Nissa,Frontier King Cab XE V6,Truck,Asia,All,3.3,6,180,17,20,3932,116,191,19479
Nissa,Altima S 4dr,Sedan,Asia,Front,2.5,4,175,21,26,3039,110,192,19240
Nissa,Sentra SE-R 4dr,Sedan,Asia,Front,2.5,4,165,23,28,2761,100,178,17640
Nissa,Sentra 1.8 S 4dr,Sedan,Asia,Front,1.8,4,126,28,35,2581,100,178,14740
Nissa,Sentra 1.8 4dr,Sedan,Asia,Front,1.8,4,126,28,35,2513,100,178,12740
Oldsm,Silhouette GL,Sedan,USA,Front,3.4,6,185,19,26,3948,120,201,28790
Oldsm,Alero GLS 2dr,Sedan,USA,Front,3.4,6,170,20,29,3085,107,187,23675
Oldsm,Alero GX 2dr,Sedan,USA,Front,2.2,4,140,24,32,2946,107,187,18825
Ponti,Bonneville GXP 4dr,Sedan,USA,Front,4.6,8,275,17,20,3790,112,203,35995
Ponti,GTO 2dr,Sports,USA,Rear,5.7,8,340,16,20,3725,110,190,33500
Ponti,Montana EWB,Sedan,USA,All,3.4,6,185,18,24,4431,121,201,31370
Ponti,Grand Prix GT2 4dr,Sedan,USA,Front,3.8,6,200,20,30,3484,111,198,24295
Ponti,Montana,Sedan,USA,Front,3.4,6,185,19,26,3803,112,187,23845
Ponti,Grand Am GT 2dr,Sedan,USA,Front,3.4,6,175,20,29,3118,107,186,22450
Ponti,Grand Prix GT1 4dr,Sedan,USA,Front,3.8,6,200,20,30,3477,111,198,22395
Ponti,Aztekt,SUV,USA,Front,3.4,6,185,19,26,3779,108,182,21595
Ponti,Sunfire 1SC 2dr,Sedan,USA,Front,2.2,4,140,24,33,2771,104,182,17735
Ponti,Vibe,Wagon,USA,Rear,1.8,4,130,29,36,2701,102,172,17045
Ponti,Sunfire 1SA 2dr,Sedan,USA,Front,2.2,4,140,24,33,2771,104,182,15495
Porsc,911 GT2 2dr,Sports,Europe,Rear,3.6,6,477,17,24,3131,93,175,192465
Porsc,911 Carrera 4S coupe 2dr (convert),Sports,Europe,All,3.6,6,315,17,24,3240,93,175,84165
Porsc,911 Carrera convertible 2dr (coupe),Sports,Europe,Rear,3.6,6,315,18,26,3135,93,175,79165
Porsc,911 Targa coupe 2dr,Sports,Europe,Rear,3.6,6,315,18,26,3119,93,175,76765
Porsc,Cayenne S,SUV,Europe,All,4.5,8,340,14,18,4950,112,188,56665
Porsc,Boxster S convertible 2dr,Sports,Europe,Rear,3.2,6,258,18,26,2911,95,170,52365
Porsc,Boxster convertible 2dr,Sports,Europe,Rear,2.7,6,228,20,29,2811,95,170,43365
Saab,9-3 Aero convertible 2dr,Sedan,Europe,Front,2,4,210,21,30,3700,105,182,43175
Saab,9-5 Aero,Wagon,Europe,Front,2.3,4,250,19,29,3620,106,190,40845
Saab,9-3 Arc convertible 2dr,Sedan,Europe,Front,2,4,210,21,29,3480,105,182,40670
Saab,9-5 Aero 4dr,Sedan,Europe,Front,2.3,4,250,21,29,3470,106,190,39465
Saab,9-5 Arc 4dr,Sedan,Europe,Front,2.3,4,220,21,29,3470,106,190,35105
Saab,9-3 Aero 4dr,Sedan,Europe,Front,2,4,210,20,28,3175,105,183,33360
Saab,9-3 Arc Sport 4dr,Sedan,Europe,Front,2,4,210,20,28,3175,105,183,30860
Satur,L300 2,Wagon,USA,Front,2.2,4,140,24,34,3109,107,190,23560
Satur,L300-2 4dr,Sedan,USA,Front,3,6,182,20,28,3197,107,190,21410
Satur,VUE,SUV,USA,All,2.2,4,143,21,26,3381,107,181,20585
Satur,lon3 quad coupe 2dr,Sedan,USA,Front,2.2,4,140,26,35,2751,103,185,16350
Satur,lon3 4dr,Sedan,USA,Front,2.2,4,140,26,35,2692,103,185,15825
Satur,lon2 quad coupe 2dr,Sedan,USA,Front,2.2,4,140,26,35,2751,103,185,14850
Satur,lon2 4dr,Sedan,USA,Front,2.2,4,140,26,35,2692,103,185,14300
Satur,Ion1 4dr,Sedan,USA,Front,2.2,4,140,26,35,2692,103,185,10995
Scion,xB,Wagon,Asia,Front,1.5,4,108,31,35,2425,98,155,14165
Scion,xA 4dr hatch,Sedan,Asia,Front,1.5,4,108,32,38,2340,93,154,12965
Subar,Outback H-6 VDC 4dr,Sedan,Asia,All,3,6,212,19,26,3630,104,184,31545
Subar,Impreza WRX STi 4dr,Sports,Asia,All,2.5,4,300,18,24,3263,100,174,31545
Subar,Outback H6 4dr,Sedan,Asia,All,3,6,212,19,26,3610,104,184,29345
Subar,Outback Limited Sedan 4dr,Sedan,Asia,All,2.5,4,165,20,27,3495,104,184,27145
Subar,Legacy GT 4dr,Sedan,Asia,All,2.5,4,165,21,28,3395,104,184,25645
Subar,Impreza WRX 4dr,Sports,Asia,All,2,4,227,20,27,3085,99,174,25045
Subar,Baja,Truck,Asia,All,2.5,4,165,21,28,3485,104,193,24520
Subar,Outback,Wagon,Asia,All,2.5,4,165,21,28,3430,104,187,23895
Subar,Forester X,Wagon,Asia,All,2.5,4,165,21,28,3090,99,175,21445
Subar,Legacy L 4dr,Sedan,Asia,All,2.5,4,165,21,28,3285,104,184,20445
Subar,Impreza 2.5 RS 4dr,Sedan,Asia,All,2.5,4,165,22,28,2965,99,174,19945
Suzuk,XL-7 EX,SUV,Asia,Front,2.7,6,185,18,22,3682,110,187,23699
Suzuk,Verona LX 4dr,Sedan,Asia,Front,2.5,6,155,20,27,3380,106,188,17262
Suzuk,Vitara LX,SUV,Asia,All,2.5,6,165,19,22,3020,98,163,17163
Suzuk,Aerio SX,Wagon,Asia,All,2.3,4,155,24,29,2932,98,167,16497
Suzuk,Forenza EX 4dr,Sedan,Asia,Front,2,4,119,22,30,2756,102,177,15568
Suzuk,Aerio LX 4dr,Sedan,Asia,Front,2.3,4,155,25,31,2676,98,171,14500
Suzuk,Aeno S 4dr,Sedan,Asia,Front,2.3,4,155,25,31,2676,98,171,12884
Suzuk,Forenza S 4dr,Sedan,Asia,Front,2,4,119,24,31,2701,102,177,12269
Toyot,Land Cruiser,SUV,Asia,All,4.7,8,325,13,17,5390,112,193,54765
Toyot,Sequoia SR5,SUV,Asia,All,4.7,8,240,14,17,5270,118,204,35695
Toyot,Avalon XLS 4dr,Sedan,Asia,Front,3,6,210,21,29,3439,107,192,30920
Toyot,Sienna XLE Limited,Sedan,Asia,Front,3.3,6,230,19,27,4165,119,200,28800
Toyot,Highlander V6,SUV,Asia,All,3.3,6,230,18,24,3935,107,185,27930
Toyot,4Runner SR5 V6,SUV,Asia,Front,4,6,245,18,21,4035,110,189,27710
Toyot,Avalon XL 4dr,Sedan,Asia,Front,3,6,210,21,29,3417,107,192,26560
Toyot,Camry Solara SLE V6 2dr,Sedan,Asia,Front,3.3,6,225,20,29,3439,107,193,26510
Toyot,Tundra Access Cab V6 SR5,Truck,Asia,All,3.4,6,190,14,17,4435,128,218,25935
Toyot,Camry XLE V6 4dr,Sedan,Asia,Front,3,6,210,21,29,3362,107,189,25920
Toyot,MR2 Spyder convertible 2dr,Sports,Asia,Rear,1.8,4,138,26,32,2195,97,153,25130
Toyot,Sienna CE,Sedan,Asia,Front,3.3,6,230,19,27,4120,119,200,23495
Toyot,Camry LE V6 4dr,Sedan,Asia,Front,3,6,210,21,29,3296,107,189,22775
Toyot,Celica GT-S 2dr,Sports,Asia,Front,1.8,4,180,24,33,2500,102,171,22570
Toyot,Camry Solara SE V6 2dr,Sedan,Asia,Front,3.3,6,225,20,29,3417,107,193,21965
Toyot,Prius 4dr (gas/electric),Hybrid,Asia,Front,1.5,4,110,59,51,2890,106,175,20510
Toyot,RAV4,SUV,Asia,All,2.4,4,161,22,27,3119,98,167,20290
Toyot,Camry Solara SE 2dr,Sedan,Asia,Front,2.4,4,157,24,33,3175,107,193,19635
Toyot,Camry LE 4dr,Sedan,Asia,Front,2.4,4,157,24,33,3086,107,189,19560
Toyot,Matrix XR,Wagon,Asia,Front,1.8,4,130,29,36,2679,102,171,16695
Toyot,Tundra Regular Cab V6,Truck,Asia,Rear,3.4,6,190,16,18,3925,128,218,16495
Toyot,Corolla LE 4dr,Sedan,Asia,Front,1.8,4,130,32,40,2524,102,178,15295
Toyot,Corolla S 4dr,Sedan,Asia,Front,1.8,4,130,32,40,2524,102,178,15030
Toyot,Corolla CE 4dr,Sedan,Asia,Front,1.8,4,130,32,40,2502,102,178,14085
Toyot,Tacoma,Truck,Asia,Rear,2.4,4,142,22,27,2750,103,191,12800
Toyot,Echo 2dr auto,Sedan,Asia,Front,1.5,4,108,33,39,2085,93,163,11560
Toyot,Echo 4dr,Sedan,Asia,Front,1.5,4,108,35,43,2055,93,163,11290
Toyot,Echo 2dr manual,Sedan,Asia,Front,1.5,4,108,35,43,2035,93,163,10760
Volks,Phaeton W12 4dr,Sedan,Europe,Front,6,12,420,12,19,5399,118,204,75000
Volks,Phaeton 4dr,Sedan,Europe,Front,4.2,8,335,16,22,5194,118,204,65000
Volks,Passat W8,Wagon,Europe,Front,4,8,270,18,25,4067,106,184,40235
Volks,Passat W8 4MOTION 4dr,Sedan,Europe,Front,4,8,270,18,25,3953,106,185,39235
Volks,Touareg V6,SUV,Europe,All,3.2,6,220,15,20,5086,112,187,35515
Volks,Passat GLX V6 4MOTION 4dr,Sedan,Europe,Front,2.8,6,190,19,26,3721,106,185,33180
Volks,Passat GLS 1.8T,Wagon,Europe,Front,1.8,4,170,22,31,3338,106,184,24955
Volks,Passat GLS 4dr,Sedan,Europe,Front,1.8,4,170,22,31,3241,106,185,23955
Volks,Jetta GLI VR6 4dr,Sedan,Europe,Front,2.8,6,200,21,30,3179,99,172,23785
Volks,New Beetle GLS convertible 2dr,Sedan,Europe,Front,2,4,115,24,30,3082,99,161,23215
Volks,Jetta GLS TDI 4dr,Sedan,Europe,Front,1.9,4,100,38,46,3003,99,172,21055
Volks,New Beetle GLS 1.8T 2dr,Sedan,Europe,Front,1.8,4,150,24,31,2820,99,161,21055
Volks,GTI 1.8T 2dr hatch,Sedan,Europe,Front,1.8,4,180,24,31,2934,99,168,19825
Volks,Jetta GL,Wagon,Europe,Front,2,4,115,24,30,3034,99,174,19005
Volks,Golf GLS 4dr,Sedan,Europe,Front,2,4,115,24,31,2897,99,165,18715
Volvo,S80 T6 4dr,Sedan,Europe,Front,2.9,6,268,19,26,3653,110,190,45210
Volvo,C70 HPT convertible 2dr,Sedan,Europe,Front,2.3,5,242,20,26,3450,105,186,42565
Volvo,XC90 T6,SUV,Europe,All,2.9,6,268,15,20,4638,113,189,41250
Volvo,C70 LPT convertible 2dr,Sedan,Europe,Front,2.4,5,197,21,28,3450,105,186,40565
Volvo,S80 2.5T 4dr,Sedan,Europe,All,2.5,5,194,20,27,3691,110,190,37885
Volvo,S80 2.9 4dr,Sedan,Europe,Front,2.9,6,208,20,28,3576,110,190,37730
Volvo,S60 R 4dr,Sedan,Europe,All,2.5,5,300,18,25,3571,107,181,37560
Volvo,XC70,Wagon,Europe,All,2.5,5,208,20,27,3823,109,186,35145
Volvo,S60 T5 4dr,Sedan,Europe,Front,2.3,5,247,20,28,3766,107,180,34845
Volvo,S60 2.5 4dr,Sedan,Europe,All,2.5,5,208,20,27,3903,107,180,31745
Volvo,V40,Wagon,Europe,Front,1.9,4,170,22,29,2822,101,180,26135
Volvo,S40 4dr,Sedan,Europe,Front,1.9,4,170,22,29,2767,101,178,25135
